title,company,location,job_type,date_posted,salary_source,interval,min_amount,max_amount,currency,is_remote,job_url,description,company_url,company_industry,company_employees_label,company_revenue,company_description,site,job_level,job_function,listing_type,benefits,emails,num_urgent_words,companyResponsiveness,company_addresses,company_url_direct,normalized_company,ceo_name,ceo_photo_url,logo_photo_url,banner_photo_url,industry,description_text
"Japanese Bilingual Customer Service Representative","Sony Interactive Entertainment","Los Angeles, CA",fulltime,2025-11-14,employer,yearly,45000,65000,USD,False,https://www.indeed.com/viewjob?jk=sample1,"We are seeking a bilingual Japanese Customer Service Representative to join our team. The ideal candidate will provide exceptional customer support to our Japanese-speaking clients and assist with product inquiries, technical support, and order processing. Fluency in Japanese and English required. Benefits include health insurance, 401k, and paid time off.",https://www.sony.com,Technology,1001-5000,Over $10 billion,"Sony Interactive Entertainment is a leading global provider of interactive entertainment.",Indeed,Entry Level,Customer Service,external,"Health Insurance, 401(k), Paid Time Off",,,responsive,"Los Angeles, CA",https://www.sony.com/careers,Sony Interactive Entertainment,,,https://logo.sony.com,https://banner.sony.com,Technology,"We are seeking a bilingual Japanese Customer Service Representative to join our team. The ideal candidate will provide exceptional customer support to our Japanese-speaking clients."
"Japanese Language Instructor","Berlitz Language Center","Los Angeles, CA",parttime,2025-11-13,employer,hourly,25,40,USD,False,https://www.indeed.com/viewjob?jk=sample2,"Berlitz is hiring a Japanese Language Instructor to teach business professionals and students. Native or near-native fluency in Japanese required. Experience with language instruction preferred. Flexible schedule available. Join our team of dedicated language professionals!",https://www.berlitz.com,Education,501-1000,$100M - $500M,"Berlitz is a global leader in language education and cultural training.",Indeed,Mid Level,Education,external,"Flexible Schedule, Professional Development",,,somewhat responsive,"Los Angeles, CA",https://www.berlitz.com/careers,Berlitz,,,https://logo.berlitz.com,https://banner.berlitz.com,Education,"Berlitz is hiring a Japanese Language Instructor to teach business professionals and students."
"Bilingual Administrative Assistant (Japanese/English)","Mitsubishi Electric US","Los Angeles, CA",fulltime,2025-11-12,employer,yearly,50000,70000,USD,False,https://www.indeed.com/viewjob?jk=sample3,"Seeking a detail-oriented Bilingual Administrative Assistant fluent in Japanese and English. Responsibilities include managing executive calendars, coordinating meetings, translating documents, and serving as liaison between US and Japan offices. Bachelor's degree preferred.",https://www.mitsubishielectric.com,Manufacturing,5001-10000,Over $10 billion,"Mitsubishi Electric is a global leader in manufacturing and electronics.",Indeed,Entry Level,Administrative,external,"Health Insurance, 401(k), Tuition Reimbursement",,,responsive,"Los Angeles, CA",https://www.mitsubishielectric.com/careers,Mitsubishi Electric,,,https://logo.mitsubishi.com,https://banner.mitsubishi.com,Manufacturing,"Seeking a detail-oriented Bilingual Administrative Assistant fluent in Japanese and English."
"Japanese Account Manager","Nintendo of America","Los Angeles, CA",fulltime,2025-11-11,employer,yearly,70000,95000,USD,False,https://www.indeed.com/viewjob?jk=sample4,"Nintendo of America is looking for a Japanese Account Manager to manage relationships with Japanese partners and oversee regional sales initiatives. Must be fluent in Japanese and English with strong business acumen. 3+ years of account management experience required.",https://www.nintendo.com,Entertainment,1001-5000,$1B - $10B,"Nintendo of America brings fun and joy to millions through interactive entertainment.",Indeed,Mid Level,Sales,external,"Health Insurance, 401(k), Employee Discounts, Stock Options",,,very responsive,"Los Angeles, CA",https://www.nintendo.com/careers,Nintendo of America,,,https://logo.nintendo.com,https://banner.nintendo.com,Entertainment,"Nintendo of America is looking for a Japanese Account Manager to manage relationships with Japanese partners."
"Japanese Interpreter/Translator","Language Line Solutions","Los Angeles, CA",contract,2025-11-10,employer,hourly,30,50,USD,True,https://www.indeed.com/viewjob?jk=sample5,"We need certified Japanese interpreters and translators for on-demand services. Work remotely from home. Must have professional proficiency in Japanese and English. Medical, legal, and business interpretation experience preferred. Flexible hours.",https://www.languageline.com,Professional Services,1001-5000,$100M - $500M,"Language Line Solutions provides language access services worldwide.",Indeed,Mid Level,Translation,contract,"Flexible Hours, Remote Work, Professional Development",,,responsive,"Los Angeles, CA (Remote)",https://www.languageline.com/careers,Language Line Solutions,,,https://logo.languageline.com,https://banner.languageline.com,Professional Services,"We need certified Japanese interpreters and translators for on-demand services."
"Japanese Speaking Sales Representative","Toyota Motor North America","Los Angeles, CA",fulltime,2025-11-10,employer,yearly,55000,75000,USD,False,https://www.indeed.com/viewjob?jk=sample6,"Join our sales team as a Japanese Speaking Sales Representative. You will assist Japanese-speaking customers with vehicle purchases and leasing options. Automotive experience preferred but not required. Comprehensive training provided. Bilingual in Japanese and English required.",https://www.toyota.com,Automotive,10000+,Over $10 billion,"Toyota Motor North America is committed to quality and innovation in the automotive industry.",Indeed,Entry Level,Sales,external,"Health Insurance, 401(k), Employee Vehicle Programs, Paid Time Off",,,very responsive,"Los Angeles, CA",https://www.toyota.com/careers,Toyota,,,https://logo.toyota.com,https://banner.toyota.com,Automotive,"Join our sales team as a Japanese Speaking Sales Representative."
"Japanese Content Moderator","TikTok","Los Angeles, CA",fulltime,2025-11-09,employer,yearly,55000,75000,USD,False,https://www.indeed.com/viewjob?jk=sample7,"TikTok is seeking Japanese Content Moderators to review and moderate user-generated content. Native Japanese speaker required with cultural understanding of Japan. Must be comfortable reviewing sensitive content and making quick decisions. Full training provided.",https://www.tiktok.com,Social Media,5001-10000,$1B - $10B,"TikTok is the leading destination for short-form mobile video entertainment.",Indeed,Entry Level,Content Moderation,external,"Health Insurance, 401(k), Meals Provided, Commuter Benefits",,,somewhat responsive,"Los Angeles, CA",https://careers.tiktok.com,TikTok,,,https://logo.tiktok.com,https://banner.tiktok.com,Social Media,"TikTok is seeking Japanese Content Moderators to review and moderate user-generated content."
"Japanese Business Development Manager","Rakuten USA","Los Angeles, CA",fulltime,2025-11-09,employer,yearly,85000,120000,USD,False,https://www.indeed.com/viewjob?jk=sample8,"Rakuten USA seeks an experienced Business Development Manager fluent in Japanese to drive growth initiatives and partnerships. 5+ years of business development experience required. MBA preferred. Will collaborate with teams in Japan and manage strategic partnerships.",https://www.rakuten.us,E-commerce,1001-5000,$1B - $10B,"Rakuten is a global leader in internet services and e-commerce.",Indeed,Senior Level,Business Development,external,"Health Insurance, 401(k), Stock Options, Unlimited PTO",,,very responsive,"Los Angeles, CA",https://careers.rakuten.com,Rakuten,,,https://logo.rakuten.com,https://banner.rakuten.com,E-commerce,"Rakuten USA seeks an experienced Business Development Manager fluent in Japanese."
"Japanese Restaurant Server","Nobu Los Angeles","Los Angeles, CA",fulltime,2025-11-08,employer,hourly,18,25,USD,False,https://www.indeed.com/viewjob?jk=sample9,"Fine dining Japanese restaurant seeking servers with Japanese language skills. Experience in upscale dining preferred. Ability to explain menu items in both English and Japanese. Evening and weekend availability required. Great tips!",https://www.noburestaurants.com,Hospitality,501-1000,$100M - $500M,"Nobu is a globally recognized Japanese restaurant brand.",Indeed,Entry Level,Hospitality,external,"Employee Meals, Tips, Health Insurance",,,responsive,"Los Angeles, CA",https://www.noburestaurants.com/careers,Nobu,,,https://logo.nobu.com,https://banner.nobu.com,Hospitality,"Fine dining Japanese restaurant seeking servers with Japanese language skills."
"Japanese Speaking Immigration Paralegal","Immigration Law Center","Los Angeles, CA",fulltime,2025-11-08,employer,yearly,60000,80000,USD,False,https://www.indeed.com/viewjob?jk=sample10,"Law firm specializing in immigration law seeks bilingual Japanese/English paralegal. Will assist Japanese clients with visa applications, green cards, and citizenship matters. Paralegal certificate and 2+ years of immigration law experience required.",https://www.immigrationlawcenter.com,Legal,51-200,$10M - $50M,"Immigration Law Center provides comprehensive immigration legal services.",Indeed,Mid Level,Legal,external,"Health Insurance, 401(k), Continuing Education, Paid Time Off",,,responsive,"Los Angeles, CA",https://www.immigrationlawcenter.com/careers,Immigration Law Center,,,https://logo.ilc.com,https://banner.ilc.com,Legal,"Law firm specializing in immigration law seeks bilingual Japanese/English paralegal."
"Japanese Market Research Analyst","Nielsen","Los Angeles, CA",fulltime,2025-11-07,employer,yearly,65000,90000,USD,False,https://www.indeed.com/viewjob?jk=sample11,"Nielsen is hiring a Japanese Market Research Analyst to analyze Japanese market trends and consumer behavior. Strong analytical skills and fluency in Japanese required. Experience with data analysis tools preferred. Bachelor's degree in marketing or related field.",https://www.nielsen.com,Market Research,5001-10000,$1B - $10B,"Nielsen is a global leader in measurement and data analytics.",Indeed,Mid Level,Research & Analysis,external,"Health Insurance, 401(k), Flexible Work, Professional Development",,,responsive,"Los Angeles, CA",https://careers.nielsen.com,Nielsen,,,https://logo.nielsen.com,https://banner.nielsen.com,Market Research,"Nielsen is hiring a Japanese Market Research Analyst to analyze Japanese market trends."
"Japanese Localization Specialist","Activision Blizzard","Los Angeles, CA",fulltime,2025-11-07,employer,yearly,70000,95000,USD,False,https://www.indeed.com/viewjob?jk=sample12,"Join our localization team as a Japanese Localization Specialist. You will adapt game content for Japanese markets, ensuring cultural relevance and linguistic accuracy. Native Japanese speaker with gaming industry experience preferred. Passion for video games required!",https://www.activisionblizzard.com,Gaming,5001-10000,Over $10 billion,"Activision Blizzard is one of the world's most successful game developers.",Indeed,Mid Level,Localization,external,"Health Insurance, 401(k), Game Access, Flexible Hours",,,very responsive,"Los Angeles, CA",https://careers.activisionblizzard.com,Activision Blizzard,,,https://logo.activision.com,https://banner.activision.com,Gaming,"Join our localization team as a Japanese Localization Specialist."
"Japanese Speaking Flight Attendant","All Nippon Airways (ANA)","Los Angeles, CA",fulltime,2025-11-06,employer,yearly,45000,70000,USD,False,https://www.indeed.com/viewjob?jk=sample13,"ANA is recruiting Japanese speaking flight attendants based in Los Angeles. Must be fluent in Japanese and English. Previous customer service experience preferred. Travel benefits included. Will undergo comprehensive training at ANA training facility.",https://www.ana.co.jp,Airlines,10000+,Over $10 billion,"All Nippon Airways is Japan's largest airline.",Indeed,Entry Level,Aviation,external,"Flight Benefits, Health Insurance, 401(k), Travel Perks",,,very responsive,"Los Angeles, CA",https://www.ana.co.jp/careers,All Nippon Airways,,,https://logo.ana.com,https://banner.ana.com,Airlines,"ANA is recruiting Japanese speaking flight attendants based in Los Angeles."
"Japanese Bank Teller","MUFG Union Bank","Los Angeles, CA",fulltime,2025-11-06,employer,yearly,40000,55000,USD,False,https://www.indeed.com/viewjob?jk=sample14,"MUFG Union Bank seeks bilingual Japanese/English bank tellers for our LA branches. Will assist Japanese-speaking customers with banking transactions and account services. Previous banking experience preferred. Customer service skills essential.",https://www.unionbank.com,Banking & Finance,1001-5000,$1B - $10B,"MUFG Union Bank provides comprehensive financial services.",Indeed,Entry Level,Banking,external,"Health Insurance, 401(k), Employee Banking Benefits, Paid Time Off",,,responsive,"Los Angeles, CA",https://www.unionbank.com/careers,MUFG Union Bank,,,https://logo.mufg.com,https://banner.mufg.com,Banking & Finance,"MUFG Union Bank seeks bilingual Japanese/English bank tellers."
"Japanese Social Media Manager","Bandai Namco Entertainment","Los Angeles, CA",fulltime,2025-11-05,employer,yearly,60000,85000,USD,False,https://www.indeed.com/viewjob?jk=sample15,"Manage Japanese social media channels for our gaming products. Create engaging content in Japanese, monitor trends, and interact with the Japanese gaming community. 3+ years of social media management experience and native Japanese fluency required.",https://www.bandainamcoent.com,Entertainment,1001-5000,$1B - $10B,"Bandai Namco Entertainment is a leading global publisher of entertainment content.",Indeed,Mid Level,Marketing,external,"Health Insurance, 401(k), Product Discounts, Creative Environment",,,responsive,"Los Angeles, CA",https://careers.bandainamcoent.com,Bandai Namco,,,https://logo.bandai.com,https://banner.bandai.com,Entertainment,"Manage Japanese social media channels for our gaming products."
